,descricao,estado,envelhecimento,alcool,marca,madeira,grupo,madeira,tipo,volume,preco
0,"Envelhecida em barris de carvalho por três anos, a Vale Verde Extra Premium é produzida de forma artesanal com certificado do Ministério da Agricultura, no Parque Ecológico Vale Verde, também conhecido como Parque Ecológico da Cachaça, em Betim, Região Metropolitana de Belo Horizonte, Minas Gerais.
No paladar a cachaça possui uma textura leve e macia proporcionado pelo processo de fabricação que utiliza barris europeus. Para explorar a intensidade da bebida, deguste a Vale Verde Premium acompanhada de torresmo, costela ou linguiça. A suavidade da cachaça amplia o apetite e deixa a refeição mais saborosa.
A Vale Verde Premium possui diversos prêmios e reconhecimentos, entre eles foi eleita como a melhor cachaça Premium envelhecida pelo ranking da Playboy, em 2007, 2009 e 2011,",Minas Gerais,3 anos,40% Vol.,Vale Verde,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$79,90"
1,"A cachaça Vale Verde é produzida em um parque ecológico na cidade de Vianópolis, distrito de Betim/MG. Já foi campeã de vários festivais de cachaça e foi a única inclusive a sair na capa da revista Playboy.   Sua textura é leve e macia, mesmo com um teor alcoólico de  40% ela não deixa seu apreciador iniciante fazer cara feia. Isso porque é uma cachaça refinada e envelhecida em barris de carvalho em um depósito úmido com um pequeno riacho passando dentro do galpão onde descansa por 3 anos. Se você ainda não provou não deixe de experimentar uma das cachaças mais populares de Minas Gerais. A cachaça Vale Verde é classificada como extra premium por ser 100% envelhecida por 3 anos em tonéis de carvalho europeu, o que lhe confere a cor dourada única e o buquê marcante da madeira. É justamente esse envelhecimento que garante o equilíbrio da bebida, que desce redondinha, sem aspereza. A cana colhida no ponto certo, fruto dos solos calcários da região de Betim, a fermentação nos antigos alambiques de cobre e a criteriosa escolha dos barris de carvalho garantem a cor brilhante e o sabor adocicado persistente.",Minas Gerais,3 anos,40% Vol.,Vale Verde,Carvalho,Cachaça,Carvalho,Não,50 ml,"R$9,95"
2,"A Cachaça Minha Deusa é produzida pela Vale Verde, em um parque ecológico, em Vianápolis, distrito de Betim/MG. Dedicada á esposa de seu criador, é uma cachaça branca totalmente refinada e leve para se degustar pura ou na forma de drinks, como a caipirinha por exemplo.   Geralmente as cachaças brancas são mais fortes por não terem sido descansadas em barris, que por sua vez, amenizam a intensidade do álcool. Porém, a Minha Deusa é uma cachaça que destaca o gosto da cana de açúcar, quase uma garapa transparente com sabor refinadíssimo e levemente acentuado. Combinada com limão, gelo e um pouco de água, se transforma em um drink refrescante e muito prazeroso. Para dias quentes e frio. A dedicação ao amor pela sua esposa, sua admiração estendida e transformada em líquido, faz da Minha Deusa a cachaça dos apaixonados. Um presente único e diferente, mas não é a cachaça em si, e sim, um drink. Capriche na hora de preparar uma caipirinha para o seu amor. Coloque bastante gelo e limão, pouco açúcar, elas não gostam de engordar, decore bem e entre  para sua Deusa a Minha Deusa. Um cântico universal na linguagem do amor. Para todos os homens, uma Deusa. A Minha Deusa.",Minas Gerais,Sem envelhecimento,40% Vol.,Vale Verde,Não Envelhcida,Cachaça,Não Envelhcida,Não,700 ml,"R$34,95"
3,"A cachaça Vale Verde 12 anos, produzida em um parque ecológico em Vianópolis, distrido de Betim/MG, é culpada por muitos apreciadores de Whisky trocarem suas garrafas por esta cachaça envelhecida 12 anos no carvalho. O sabor da madeira em uniformidade com a cana de açúcar mais o tempo de descanso resulta em uma bebida altamente saborosa.   O que dificulta seus apreciadores descobrirem a hora certa de parar de degustar essa maravilha do olimpo. Com certeza os Deuses da mitologia grega amariam experimentar essa cachaça deliciosa. Uma dose da Vale Verde alterará seu estado de espírito para uma leveza pacífica e tranquilizadora. Se insistir em repetir, a cada momento mais clareza e relaxamento se tornarão mais aguçados. Mas como sempre, não exagere. Como diziam lá em Mariana, ""Menino guloso, pouco mingau"", quando alguma coisa é muito boa, devemos ir com calma.  Até porque foram 12 anos envelhecendo no galpão da Vale Verde que mais parece uma gruta milenar, com um pequeno riacho passando dentro, deixando um ambiente úmido e calmo para o descanso dessa marilha. Você não vai querer beber 12 anos de história numa noite vai? Claro que vai. Por isso chame os amigos, pegue o tira-gosto brindem. Brindem a vida, aos anos que passaram enquanto esta maravilha descansava esperando por você. É isso mesmo. Pode abraçar.",Minas Gerais,12 anos,40% Vol.,Vale Verde,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$594,95"
4,"A cachaça Coluninha é uma tradicional cachaça artesanal mineira, nascida nos velhos alambiques. A cachaça Coluninha representa a região Norte de MG. Surgiu há 14 anos na cidade de Coluna, Norte de Minas, cidade. A cachaça Coluninha destaca-se no mercado pela qualidade do sabor, aroma e suavidade. É fabricada de forma artesanal, desde o plantio até o engarrafamento, é totalmente isenta de aditivos químicos. A cachaça Coluninha é hoje uma das marcas mais tradicionais e consagradas no Brasil. Premiações da cachaça Coluninha:- 1º lugar Campeão dos Campeões de coquetéis feitos com cachaça (BH/MG - 1999), e 3º lugar no Festival da Qualidade (BH/MG - 1996).",Minas Gerais,Não,40% Vol.,Coluninha,Não Envelhcida,Cachaça,Não Envelhcida,Não,50 ml,"R$8,50"
5,"Morro da Garça, sertão mineiro. Para os apreciadores que gostam da cultura mineira eis uma cachaça que representa a essência de Minas Gerais em seu paladar.   Prosa significa conversa fiada, jogar conversa fora, sentar na varanda de casa ao entardecer e contemplar o firmamento, a vida, as pessoas passando pra lá e pra cá. Em Minas e em várias cidades do Brasil é comum essa cena. Mas em Minas ainda temos algums elementos que complementam esse costume, muitas vezes uma cachacinha está presente e quando a farra é boa, chega sempre um com uma viola para tocar cantigas regionais. Daí surgiu esse produto chamado Prosa e VIola. Contar histórias, cantar, observar e degustar, assim se termina o dia em vários municípios de Minas Gerais.  E para acompanhar esse momento, nada melhor que a Prosa e Viola, uma cachaça que será uma boa companhia pra quem deseja contemplar a vida depois de um longo dia de labuta. Se puder acenda a fogueira, se não, aconchegue-se num canto da varanda e chame algum familiar, ou alguém que parou para comprimentá-lo, ou até mesmo ligue pra amigos ou  parentes. Pergunte como o foi o dia. Se entrar, ofereça uma cachacinha, essa a qual vos apresentamos. Pegue um tira gosto e compartilhe experiências da vida. Com a prosa. E se puder, com a viola. Quando beber essa cachaça materialize um cenário verde, com árvores, estradas de terra, sítios, pessoas sentadas em suas casas contemplando a vida. E um lindo pôr do sol. Essa cachaça quer transformar esse momento numa árte líquida, degustativa. Como aqueles cheiros de infância. A flor Dama da Noite. O cheiro de terra, e o cheiro da vida serena e tranquila.",Minas Gerais,3 anos,40% Vol.,Prosa e Viola,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$53,90"
6,"Há muito o que se falar da cachaça Boazinha, primeiro que ela é um produto da fazenda Seleta, que é o alambique que mais produz cachaça artesanal no Brasil. Localizada na capital mineira da cachaça, Salinas/MG, a Boazinha ganhou esse nome por culpa dos clientes dos bares daquela região que se referiam a ela desta forma, ""Desse uma boazinha aí pra nóis"".   E assim o nome surgiu naturalmente. O Sô Tonim, como é conhecido, é o dono da cachaça e uma figura muito conhecida no ramo da cachaça, homem de bom coração, foi um dos pioneiros a divulgar a cachaça artesanal para o Brasil e o mundo. A cachaça é envelhecida no barril de bálsamo por 2 anos. Tem um perfume único e de leveza agradável. Um produto com selo Salinas. Reza a lenda que a terra daquela região é sagrada para os produtores de cana de açúcar. Há um grande diferencial da cana plantada por lá em relação a de outras regiões do Brasil. Por isso as cachaças de Salinas são tão procuradas.  A cachaça é sagrada para muitos apreciadores. Isso está ligado com a escravidão e a triste história do seu nascimento. Por isso é uma bebida de respeito que merece amor, ternura e muito capricho em sua preparação. Para muitos é carregada de espíritos que lutaram pela liberdade, para outros, representa a força para romper com um sistema severo, e para mais, uma bebida que representa a história de uma nação. O líquido precioso que caminha de mãos dadas com a evolução deste país. As lágrimas do choro de uma nação festeira. Com esse respeito todo é que se faz essa tão apreciada cachaça. Boazinha.",Minas Gerais,2 anos,42% Vol.,Boazinha,Bálsamo,Cachaça,Bálsamo,Não,670 ml,"R$36,90"
7,"Há muito o que se falar da cachaça Boazinha, primeiro que ela é um produto da fazenda Seleta, que é o alambique que mais produz cachaça artesanal no Brasil. Localizada na capital mineira da cachaça, Salinas/MG, a Boazinha ganhou esse nome por culpa dos clientes dos bares daquela região que se referiam a ela desta forma, ""Desse uma boazinha aí pra nóis"".   E assim o nome surgiu naturalmente. O Sô Tonim, como é conhecido, é o dono da cachaça e uma figura muito conhecida no ramo da cachaça, homem de bom coração, foi um dos pioneiros a divulgar a cachaça artesanal para o Brasil e o mundo. A cachaça é envelhecida no barril de bálsamo por 2 anos. Tem um pergume único e de leveza agradável. Um produto com selo Salinas. Reza a lenda que a terra daquela região é sagrada para os produtores de cana de açúcar. Há um grande diferencial da cana plantada por lá em relação a de outras regiões do Brasil. Por isso as cachaças de Salinas são tão procuradas.  A cachaça é sagrada para muitos apreciadores. Isso está ligado com a escravidão e a triste história do seu nascimento. Por isso é uma bebida de respeito que merece amor, ternura e muito capricho em sua preparação. Para muitos é carregada de espíritos que lutaram pela liberdade, para outros, representa a força para romper com um sistema severo, e para mais, uma bebida que representa a história de uma nação. O líquido precioso que caminha de mãos dadas com a evolução deste país. As lágrimas do choro de uma nação festeira. Com esse respeito todo é que se faz essa tão apreciada cachaça. Boazinha.",Minas Gerais,2 anos,42% Vol.,Boazinha,Bálsamo,Cachaça,Bálsamo,Não,50 ml,"R$9,95"
8,"A cachaça Lua Nova é produzida na capital mineira da cachaça, a tão conhecida cidade de Salinas. Situada no norte de Minas.   Desde 1995. Já se vão 21 anos de prazeroso trabalho e dedicação. Envelhecida dois anos e meio na umburana, carrega em si o brilho discreto da lua durante o dia. Durante o seu período de renascimento. O brilho discreto para depois se tornar crescente e aí sim cheia. Brilhante, iluminando cada gota que recai sobre as papílas degustativas, causando-lhe imensa sensação de paz interior, na forma da luz branca desfragmentada por um prisma líquido da cachaça Lua Nova. Você merece esse encontro. Aqueles peculiares, porém emotivos. O sol com chuva, o sol com lua, você triangulando isso, é o centro das atenções desses corpos celestes. Beber a Lua Nova é caminhar na lua.",Minas Gerais,"2,5 anos",45% Vol.,Lua Nova,Umburana,Cachaça,Umburana,Não,700 ml,"R$31,90"
9,"Produzida em Salinas, Região Norte de Minas Gerais, terra conhecida como a capital mundial da cachaça artesanal, a Canarinha se destaca por ter um aroma pungente, com um toque de buquê de flores do campo, capim, com destaque para o anis estrelado e um sabor levemente apimentado. De cor dourada e com acidez equilibrada, a bebida é envelhecida em tonéis de bálsamo por três anos, antes de ser engarrafada e disponibilizada para os consumidores.
O responsável pela produção da Canarinha é Noé Santiago, sobrinho de Anísio Santiago, criador da Havana, cachaça reconhecida mundialmente.   Entre os prêmios e classificações, a Canarinha conseguiu o 20ª lugar no II Ranking da Cúpula da Cachaça em 2016; a 10ª colocada no 1º Ranking Cúpula da Cachaça em 2014 com mais de 1000 Cachaças participando de todo o Brasil.
A Canarinha combina quando acompanhada de pratos com aves, bacalhau, carne assada e feijoada. Vale a pena conferir!",Minas Gerais,2 anos,44% Vol.,Canarinha,Bálsamo,Cachaça,Bálsamo,Não,600 ml,"R$101,90"
